symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PIKFYVE	0.4974831715270942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8169432866598113	No data	No data	No data	No data	No data	No data	0.027575101239446696	No data	0.5	0	0	1	1	0	0.67588	1	-0.6401333611168993	-0.9486509476618893	0	No data	No data	0	-1	-1
CDKN2A	0.49731134869092763	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8172794927063161	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	No data	No data	0.04928110022921439	-0.7103755733218592	0	No data	-1	-0.23077000000000006	0.5	0
NDUFAB1	0.4967616359376609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8136276097869971	No data	No data	No data	No data	No data	No data	0.07015121357208141	No data	1	0	0	0	0	0	0.29487000000000024	No data	-0.19733277766201296	No data	-1	No data	No data	0	0.5	-1
CDKN2B	0.4950283247408023	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8142840051624642	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.13043499999999994	No data	0.8534069597832883	-0.4782711760133934	0	No data	No data	-0.45652250000000016	0.5	0
CAMLG	0.49420155075608413	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.812924024737116	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.44256499999999976	No data	0.1370077099395708	-0.022060910089015118	-1	No data	No data	No data	-1	-1
BIN1	0.4934976624624769	0.8105967595054812	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.023388448741447087	No data	No data	No data	0	0	0	0	0	0.738615	No data	-0.6690977286934778	-0.80519892451376	0	No data	No data	0	0.75	-1
KAT8	0.4920915205575386	0.1916741578939562	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.07295169571339452	No data	No data	No data	0	0	1	1	1	0.8908299999999997	No data	-0.5224005001041884	-0.86742329956243	-1	No data	No data	0	-1	-1
CD33	0.48635741296571483	0.6562314078992202	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5688988374835828	No data	No data	No data	No data	No data	0.07042033942000614	No data	No data	1	1	0	0	0	0	0	No data	0.47009793707022296	-0.8066207817599582	0	No data	No data	0	0.5	0
KIF1A	0.483894508911284	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.793023723390932	No data	No data	No data	No data	No data	No data	0.05892000314290202	No data	No data	0	0	0	0	0	0.86879	No data	-0.9520733486142946	-0.8356944867529054	0	No data	No data	-0.28392000000000017	0.5	0
SCN8A	0.48359600981296286	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	0.4411128980503322	1	1	0	1	1	0	0.9318199999999998	No data	-0.9578037091060637	-0.9487970238105026	0	No data	No data	-0.4217175000000001	0.75	0.5
SCN1A	0.4801493839723574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	0.011737921547836644	0.322507288132965	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
CD2AP	0.4795295652626402	0.7864044386574727	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04770568064591194	No data	No data	No data	1	0	0	0	0	0.31142499999999984	No data	-0.6106480516774329	-0.8137665182053466	0	No data	No data	0	-1	-1
GABRP	0.4792728924046622	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	0.754171407962707	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	0	0	0.636365	No data	0.5429256095019797	No data	0	No data	No data	0	0.5	-1
MPO	0.4770742086411623	No data	No data	0.7832310204962522	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	0.75	0	0	1	1	1	0.1610750000000003	No data	0.28776828505938745	-0.7300097756321411	0	No data	No data	-0.17785249999999983	1	0.5
CR1	0.47389128415210857	0.779515178395117	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	0	0	0	0	0	No data	0.06678474682225466	-0.7464038557294722	0	No data	No data	0	0.5	0
NEU1	0.4723230542870489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.34044124666250786	No data	No data	No data	0	0	1	1	0	0.08433500000000009	No data	-0.08897687018128775	-0.8623462170873558	0	No data	No data	0	-1	0
GABBR1	0.47173816238675553	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	0.05100772579081623	No data	1	0	0	1	1	0	0.9323599999999999	No data	-0.8572619295686601	-0.8742876294213122	0	No data	No data	0	1	0
SCN2A	0.4714162033835185	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	0.0404157635312317	No data	1	1	0	1	1	0	0.9027450000000001	1	-0.9605126067930819	-0.7880557324349885	0	No data	No data	-0.6907724999999999	1	0.5
GABBR2	0.4709448683066046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	0.024909555299453295	No data	1	1	0	1	0	0	0.8990450000000003	No data	-0.9258178787247343	-0.720012644525361	0	No data	No data	0	1	0.5
SCN3A	0.47077776784499104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	0.019412203881495334	No data	1	1	0	1	1	0	0.7375	No data	-0.9175869972911023	-0.45806794162493086	0	No data	No data	-0.68875	0.5	0.5
SCN4A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6214599999999997	No data	-0.6547197332777662	-0.8611597120123354	0	No data	No data	-0.264705	0.75	0.5
SCN5A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7146399999999999	No data	-0.7443217336945197	-0.976716866412147	0	-1	No data	-0.09925499999999995	1	0.5
SCN7A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	No data	-0.15565742863096477	No data	0	No data	No data	0	0.5	0
SCN9A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.660465	1	-0.24901021046051264	-0.8488954393501088	0	No data	No data	-0.4567399999999999	0.5	0
SCN11A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0	No data	-0.10335486559699936	-0.2834589605852611	0	No data	No data	0	0.5	0.5
SCN10A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.11809999999999973	0	0.13033965409460313	-0.7917212535510667	0	-1	No data	-0.03246500000000001	No data	No data
HSD17B12	0.46835592893935146	0.04198576948918358	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.05448499999999967	No data	-0.012710981454469694	No data	0	No data	No data	0	-1	-1
NDUFB9	0.46816661511913565	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.768331365119196	No data	No data	No data	No data	No data	No data	0.035343348171134145	No data	1	0	0	0	0	0	0.3296100000000003	No data	0.16774327984996873	-0.5512941723678829	-1	No data	No data	No data	0.5	-1
TP53	0.46659058528025876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.15185172202216132	No data	No data	0.75	0	0	1	1	0	0	No data	-0.5366743071473223	-0.9868896764809534	0	-1	-1	0	-1	-1
AP2M1	0.46581364590193963	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.1262915963837994	No data	No data	1	0	0	0	0	1	No data	-0.8994582204625964	-0.2123185238501421	-1	No data	No data	0	-1	-1
